단어,발음기호,한국어발음,분류,품사,뜻,예문,예문해석,예문2,예문2해석,예문3,예문3해석,예문4,예문4해석
snake,/sneɪk/,스[네]익,12-8 Reptiles 파충류,명,뱀,A **snake** warmed itself on a sunlit rock.,뱀이 햇빛이 비치는 바위에서 몸을 데웠다.,,,,,,
lizard,/ˈlɪzərd/,[리]저드,12-8 Reptiles 파충류,명,도마뱀,The **lizard** warmed itself on a flat stone.,도마뱀이 평평한 돌 위에서 몸을 데웠다.,,,,,,
turtle,/ˈtɜːrtl/,[터]ː틀,12-8 Reptiles 파충류,명,거북(바다·민물 통칭),The **turtle** lifted its head above the water.,거북이 물 위로 머리를 내밀었다.,,,,,,
tortoise,/ˈtɔːrtəs/,[토]ː터스,12-8 Reptiles 파충류,명,육지거북,The **tortoise** moved steadily across the dry ground.,육지거북이 마른 땅을 꾸준히 걸어갔다.,,,,,,
crocodile,/ˈkrɑːkədaɪl/,크[라]ː커다일,12-8 Reptiles 파충류,명,악어(주둥이 뾰족),The **crocodile** waited quietly at the riverbank.,악어가 강둑에서 조용히 기다렸다.,,,,,,
alligator,/ˈælɪɡeɪtər/,[앨]리게이터,12-8 Reptiles 파충류,명,앨리게이터 악어(주둥이 둥금),An **alligator** floated with only its eyes above water.,앨리게이터 악어가 눈만 물 위에 드러낸 채 떠 있었다.,,,,,,
gecko,/ˈɡekoʊ/,[게]코우,12-8 Reptiles 파충류,명,게코 도마뱀,The **gecko** climbed the wall using its sticky toes.,게코 도마뱀이 끈적한 발가락으로 벽을 올랐다.,,,,,,
iguana,/ɪˈɡwɑːnə/,이그[와]ː너,12-8 Reptiles 파충류,명,이구아나,The **iguana** rested on a branch in the sun.,이구아나가 햇볕 아래 나뭇가지에서 쉬었다.,,,,,,
chameleon,/kəˈmiːliən/,커[밀]ː리언,12-8 Reptiles 파충류,명,카멜레온,The **chameleon** changed color against the green branch.,카멜레온이 초록 나뭇가지에 맞춰 색을 바꿨다.,,,,,,
cobra,/ˈkoʊbrə/,[코]우브러,12-8 Reptiles 파충류,명,코브라,The **cobra** raised its hood when disturbed.,코브라가 건드려지자 목덜미를 펼쳤다.,,,,,,
python,/ˈpaɪθɑːn/,[파]이싼ː,12-8 Reptiles 파충류,명,비단뱀,The **python** wrapped itself around a thick branch.,비단뱀이 굵은 나뭇가지를 몸으로 감았다.,,,,,,
viper,/ˈvaɪpər/,[바]이퍼,12-8 Reptiles 파충류,명,살무사,The **viper** remained hidden among the rocks.,살무사가 바위 사이에 숨어 있었다.,,,,,,
invertebrate,/ɪnˈvɜːrtɪbrət/,인[버]ː티브럿,12-9 Invertebrates 무척추동물,명,무척추동물,An **invertebrate** has no backbone.,무척추동물은 척추가 없다.,,,,,,
octopus,/ˈɑːktəpəs/,[악]ː터퍼스,12-9 Invertebrates 무척추동물,명,문어,The **octopus** changed color beside the coral.,문어가 산호 옆에서 색을 바꿨다.,,,,,,
squid,/skwɪd/,스[퀴]드,12-9 Invertebrates 무척추동물,명,오징어,The **squid** released ink and swam away.,오징어가 먹물을 뿜고 헤엄쳐 달아났다.,,,,,,
cuttlefish,/ˈkʌtlfɪʃ/,[커]틀피쉬,12-9 Invertebrates 무척추동물,명,갑오징어,The **cuttlefish** blended into the rocky background.,갑오징어가 바위 배경에 섞여 눈에 띄지 않았다.,,,,,,
snail,/sneɪl/,스[네]일,12-9 Invertebrates 무척추동물,명,달팽이,A **snail** left a shiny trail across the leaf.,달팽이가 잎 위에 반짝이는 흔적을 남겼다.,,,,,,
slug,/slʌɡ/,슬[러]그,12-9 Invertebrates 무척추동물,명,민달팽이,The **slug** moved across the wet garden path.,민달팽이가 젖은 정원 길을 지나갔다.,,,,,,
clam,/klæm/,클[램],12-9 Invertebrates 무척추동물,명,조개,The **clam** closed its shell when touched.,조개가 건드리자 껍데기를 닫았다.,,,,,,
oyster,/ˈɔɪstər/,[오]이스터,12-9 Invertebrates 무척추동물,명,굴,The **oyster** attached itself firmly to the rock.,굴이 바위에 단단히 붙어 있었다.,,,,,,
mussel,/ˈmʌsl/,[머]슬,12-9 Invertebrates 무척추동물,명,홍합,A cluster of **mussels** covered the pier post.,홍합 무리가 부두 기둥을 덮고 있었다.,,,,,,
scallop,/ˈskɑːləp/,스[칼]ː럽,12-9 Invertebrates 무척추동물,명,가리비,The **scallop** moved by opening and closing its shell.,가리비가 껍데기를 여닫으며 움직였다.,,,,,,
abalone,/ˌæbəˈloʊni/,애벌[로]우니,12-9 Invertebrates 무척추동물,명,전복,The **abalone** clung tightly to the underwater rock.,전복이 물속 바위에 단단히 붙어 있었다.,,,,,,
jellyfish,/ˈdʒelifɪʃ/,[젤]리피쉬,12-9 Invertebrates 무척추동물,명,해파리,A transparent **jellyfish** drifted with the current.,투명한 해파리가 물살을 따라 떠다녔다.,,,,,,
starfish,/ˈstɑːrfɪʃ/,스[타]ː피쉬,12-9 Invertebrates 무척추동물,명,불가사리,The **starfish** slowly climbed over the rock.,불가사리가 바위 위를 천천히 기어갔다.,,,,,,
sea urchin,/siː ɜːrtʃɪn/,[시]ː 어ː친,12-9 Invertebrates 무척추동물,구,성게,The **sea urchin** hid between the stones.,성게가 돌 사이에 숨었다.,,,,,,
sea cucumber,/siː kjuːkʌmbər/,[시]ː 큐ː컴버,12-9 Invertebrates 무척추동물,구,해삼,The **sea cucumber** moved across the sandy bottom.,해삼이 모래 바닥을 지나갔다.,,,,,,
coral,/ˈkɔːrəl/,[코]ː럴,12-9 Invertebrates 무척추동물,명,산호,The **coral** provided shelter for many small fish.,산호가 많은 작은 물고기에게 숨을 곳을 제공했다.,,,,,,
sea anemone,/siː əˈneməni/,[시]ː 어[네]머니,12-9 Invertebrates 무척추동물,명,말미잘,The **sea anemone** waved its tentacles in the current.,말미잘이 물살에 촉수를 흔들었다.,,,,,,
crab,/kræb/,크[랩],12-9 Invertebrates 무척추동물,명,게,The **crab** walked sideways across the sand.,게가 모래 위를 옆으로 걸었다.,,,,,,
lobster,/ˈlɑːbstər/,[랍]ː스터,12-9 Invertebrates 무척추동물,명,바닷가재,The **lobster** backed into a narrow crevice.,바닷가재가 좁은 틈으로 뒤로 들어갔다.,,,,,,
shrimp,/ʃrɪmp/,슈[림]프,12-9 Invertebrates 무척추동물,명,새우,The **shrimp** cleaned tiny particles from the rock.,새우가 바위에서 작은 찌꺼기를 청소했다.,,,,,,
prawn,/prɔːn/,프[론]ː,12-9 Invertebrates 무척추동물,명,대하,The **prawn** flicked its tail and moved backward.,대하가 꼬리를 튕겨 뒤로 움직였다.,,,,,,
crayfish,/ˈkreɪfɪʃ/,크[레]이피쉬,12-9 Invertebrates 무척추동물,명,가재,The **crayfish** hid beneath a flat stone.,가재가 평평한 돌 아래에 숨었다.,,,,,,
earthworm,/ˈɜːrθwɜːrm/,[어]ː쓰웜ː,12-9 Invertebrates 무척추동물,명,지렁이,The **earthworm** loosened the soil as it moved.,지렁이가 움직이며 흙을 부드럽게 만들었다.,,,,,,
leech,/liːtʃ/,[리]ː치,12-9 Invertebrates 무척추동물,명,거머리,The **leech** attached itself to the fish.,거머리가 물고기에 달라붙었다.,,,,,,
insect,/ˈɪnsekt/,[인]섹트,12-10 Insects and Arachnids 곤충과 거미류,명,곤충,An **insect** has six legs and three main body parts.,곤충은 다리가 여섯 개이고 몸이 세 부분으로 나뉜다.,,,,,,
bug,/bʌɡ/,[버]그,12-10 Insects and Arachnids 곤충과 거미류,명,벌레; 결함,A tiny **bug** crawled across the windowsill.,작은 벌레가 창틀을 기어갔다.,,,,,,
butterfly,/ˈbʌtərflaɪ/,[버]터플라이,12-10 Insects and Arachnids 곤충과 거미류,명,나비,The **butterfly** landed on a purple flower.,나비가 보라색 꽃에 내려앉았다.,,,,,,
moth,/mɔːθ/,[모]ː쓰,12-10 Insects and Arachnids 곤충과 거미류,명,나방,A **moth** flew around the porch light.,나방이 현관등 주위를 날아다녔다.,,,,,,
bee,/biː/,[비]ː,12-10 Insects and Arachnids 곤충과 거미류,명,벌,The **bee** collected pollen from the sunflower.,벌이 해바라기에서 꽃가루를 모았다.,,,,,,
wasp,/wɑːsp/,[와]ː스프,12-10 Insects and Arachnids 곤충과 거미류,명,말벌,A **wasp** built a nest under the roof.,말벌이 지붕 아래에 집을 지었다.,,,,,,
ant,/ænt/,[앤]트,12-10 Insects and Arachnids 곤충과 거미류,명,개미,The **ant** carried a crumb larger than its head.,개미가 머리보다 큰 빵 부스러기를 옮겼다.,,,,,,
fly,/flaɪ/,플[라]이,12-10 Insects and Arachnids 곤충과 거미류,명,파리,A **fly** kept landing on the kitchen window.,파리가 계속 주방 창문에 내려앉았다.,,,,,,
mosquito,/məˈskiːtoʊ/,머스[키]ː토우,12-10 Insects and Arachnids 곤충과 거미류,명,모기,A **mosquito** buzzed near my ear all night.,모기가 밤새 내 귀 근처에서 윙윙거렸다.,,,,,,
dragonfly,/ˈdræɡənflaɪ/,드[래]건플라이,12-10 Insects and Arachnids 곤충과 거미류,명,잠자리,The **dragonfly** hovered above the pond.,잠자리가 연못 위에 떠서 날았다.,,,,,,
grasshopper,/ˈɡræshɑːpər/,그[래]스하ː퍼,12-10 Insects and Arachnids 곤충과 거미류,명,메뚜기,The **grasshopper** jumped into the tall grass.,메뚜기가 키 큰 풀 속으로 뛰어들었다.,,,,,,
cricket,/ˈkrɪkɪt/,크[리]킷,12-10 Insects and Arachnids 곤충과 거미류,명,귀뚜라미; 크리켓,A **cricket** chirped beneath the porch.,귀뚜라미가 현관 아래에서 울었다.,,,,,,
cicada,/sɪˈkeɪdə/,시[케]이더,12-10 Insects and Arachnids 곤충과 거미류,명,매미,The **cicada** made a loud sound in the summer heat.,매미가 여름 더위 속에서 큰 소리를 냈다.,,,,,,
beetle,/ˈbiːtl/,[비]ː틀,12-10 Insects and Arachnids 곤충과 거미류,명,딱정벌레,The **beetle** pushed through the fallen leaves.,딱정벌레가 떨어진 잎 사이를 밀고 지나갔다.,,,,,,
ladybug,/ˈleɪdibʌɡ/,[레]이디버그,12-10 Insects and Arachnids 곤충과 거미류,명,무당벌레,A **ladybug** ate the tiny insects on the plant.,무당벌레가 식물에 있는 작은 벌레를 먹었다.,,,,,,
firefly,/ˈfaɪərflaɪ/,[파]이어플라이,12-10 Insects and Arachnids 곤충과 거미류,명,반딧불이,The **firefly** flashed above the grass at dusk.,반딧불이가 해 질 무렵 풀 위에서 빛났다.,,,,,,
cockroach,/ˈkɑːkroʊtʃ/,[칵]ː로우치,12-10 Insects and Arachnids 곤충과 거미류,명,바퀴벌레,A **cockroach** ran under the refrigerator.,바퀴벌레가 냉장고 아래로 달려 들어갔다.,,,,,,
flea,/fliː/,플[리]ː,12-10 Insects and Arachnids 곤충과 거미류,명,벼룩,The dog scratched because of a **flea**.,개가 벼룩 때문에 몸을 긁었다.,,,,,,
louse,/laʊs/,[라]우스,12-10 Insects and Arachnids 곤충과 거미류,명,이,A special shampoo can remove a **louse** from hair.,특수 샴푸로 머리의 이를 제거할 수 있다.,,,,,,
termite,/ˈtɜːrmaɪt/,[터]ː마이트,12-10 Insects and Arachnids 곤충과 거미류,명,흰개미,The **termite** damaged the wooden beam from inside.,흰개미가 나무 들보 안쪽을 손상시켰다.,,,,,,
caterpillar,/ˈkætərpɪlər/,[캐]터필러,12-10 Insects and Arachnids 곤충과 거미류,명,애벌레,The **caterpillar** chewed a hole in the leaf.,애벌레가 잎에 구멍을 냈다.,,,,,,
mantis,/ˈmæntɪs/,[맨]티스,12-10 Insects and Arachnids 곤충과 거미류,명,사마귀(곤충),The **mantis** waited with its front legs raised.,사마귀가 앞다리를 든 채 기다렸다.,,,,,,
stag beetle,/stæɡ biːtl/,스[택] 비ː틀,12-10 Insects and Arachnids 곤충과 거미류,구,사슴벌레,The male **stag beetle** used its large jaws to compete.,수컷 사슴벌레가 큰 턱으로 경쟁했다.,,,,,,
rhinoceros beetle,/raɪˈnɑːsərəs biːtl/,라이[나]ː서러스 비ː틀,12-10 Insects and Arachnids 곤충과 거미류,구,장수풍뎅이,A **rhinoceros beetle** lifted a piece of bark.,장수풍뎅이가 나무껍질 조각을 들어 올렸다.,,,,,,
arachnid,/əˈræknɪd/,어[랙]니드,12-10 Insects and Arachnids 곤충과 거미류,명,거미류,An **arachnid** has eight legs rather than six.,거미류는 다리가 여섯 개가 아니라 여덟 개다.,,,,,,
spider,/ˈspaɪdər/,스[파]이더,12-10 Insects and Arachnids 곤충과 거미류,명,거미,The **spider** repaired the torn part of its web.,거미가 거미줄의 찢어진 부분을 고쳤다.,,,,,,
scorpion,/ˈskɔːrpiən/,스[코]ː피언,12-10 Insects and Arachnids 곤충과 거미류,명,전갈,The **scorpion** raised its tail when approached.,전갈이 누군가 다가오자 꼬리를 들었다.,,,,,,
tick,/tɪk/,[틱],12-10 Insects and Arachnids 곤충과 거미류,명,진드기,Check your clothes for a **tick** after hiking.,등산 후 옷에 진드기가 붙었는지 확인하세요.,,,,,,
mite,/maɪt/,[마]이트,12-10 Insects and Arachnids 곤충과 거미류,명,응애,A dust **mite** is too small to see without magnification.,먼지 응애는 확대하지 않으면 보기 너무 작다.,,,,,,
centipede,/ˈsentɪpiːd/,[센]티피ː드,12-10 Insects and Arachnids 곤충과 거미류,명,지네,The **centipede** disappeared under a damp stone.,지네가 젖은 돌 아래로 사라졌다.,,,,,,
millipede,/ˈmɪlɪpiːd/,[밀]리피ː드,12-10 Insects and Arachnids 곤충과 거미류,명,노래기,The **millipede** curled up when I touched it.,노래기를 건드리자 몸을 둥글게 말았다.,,,,,,
school,/skuːl/,스[쿨]ː,13-1 School Places and Facilities 학교 공간과 시설,명,학교,Our **school** has a large library.,우리 학교에는 큰 도서관이 있다.,,,,,,
elementary school,/ˌelɪˈmentri skuːl/,엘리[멘]트리 스쿨ː,13-1 School Places and Facilities 학교 공간과 시설,구,초등학교,My nephew walks to **elementary school** with his friends.,내 조카는 친구들과 함께 초등학교에 걸어간다.,,,,,,
middle school,/ˈmɪdl skuːl/,[미]들 스쿨ː,13-1 School Places and Facilities 학교 공간과 시설,구,중학교,The **middle school** offers an after-school coding class.,그 중학교는 방과 후 코딩 수업을 제공한다.,,,,,,
high school,/haɪ skuːl/,[하]이 스쿨ː,13-1 School Places and Facilities 학교 공간과 시설,구,고등학교,Her **high school** is preparing for the graduation ceremony.,그녀의 고등학교는 졸업식을 준비하고 있다.,,,,,,
"university, college","/ˌjuːnɪˈvɜːrsəti/, /ˈkɑːlɪdʒ/",유ː니[버]ː서티 / [칼]ː리지,13-1 School Places and Facilities 학교 공간과 시설,명,대학교,The **university** opened a new student center this year.,그 대학교는 올해 새 학생회관을 열었다.,,,,,,
"gym, gymnasium","/dʒɪm/, /dʒɪmˈneɪziəm/",[짐] / 짐[네]이지엄,13-1 School Places and Facilities 학교 공간과 시설,명,체육관,Students play basketball in the **gym** after class.,학생들은 수업 후 체육관에서 농구를 한다.,,,,,,
coach,/koʊtʃ/,[코]우치,13-1 School Places and Facilities 학교 공간과 시설,명/동,명: 코치; 지도자 / 동: 지도하다; 훈련시키다,The **coach** explained the new practice schedule.,코치는 새 연습 일정을 설명했다.,She **coaches** the school volleyball team.,그녀는 학교 배구팀을 지도한다.,,,,
auditorium,/ˌɔːdɪˈtɔːriəm/,오ː디[토]ː리엄,13-1 School Places and Facilities 학교 공간과 시설,명,강당(객석이 있는),The school concert will be held in the **auditorium**.,학교 음악회는 강당에서 열릴 것이다.,,,,,,
language lab,/ˈlæŋɡwɪdʒ læb/,[랭]귀지 랩,13-1 School Places and Facilities 학교 공간과 시설,구,언어 실습실,We practiced listening in the **language lab**.,우리는 언어 실습실에서 듣기 연습을 했다.,,,,,,
hallway,/ˈhɔːlweɪ/,[홀]ː웨이,13-1 School Places and Facilities 학교 공간과 시설,명,복도,Please do not run in the **hallway**.,복도에서는 뛰지 마세요.,,,,,,
loudspeaker,/ˈlaʊdspiːkər/,[라]우드스피ː커,13-1 School Places and Facilities 학교 공간과 시설,명,확성기; 스피커,An announcement came over the school **loudspeaker**.,학교 확성기에서 안내 방송이 나왔다.,,,,,,
locker,/ˈlɑːkər/,[라]ː커,13-1 School Places and Facilities 학교 공간과 시설,명,사물함,I left my science book in my **locker**.,나는 과학책을 사물함에 두고 왔다.,,,,,,
cafeteria,/ˌkæfəˈtɪriə/,캐퍼[티]리어,13-1 School Places and Facilities 학교 공간과 시설,명,구내식당,The **cafeteria** serves lunch from eleven thirty.,구내식당은 11시 30분부터 점심을 제공한다.,,,,,,
water purifier,/ˈwɔːtər pjʊrɪfaɪər/,[워]ː터 퓨리파이어,13-1 School Places and Facilities 학교 공간과 시설,구,정수기,Students can refill their bottles at the **water purifier**.,학생들은 정수기에서 물병에 물을 다시 채울 수 있다.,,,,,,
counseling office,/ˈkaʊnsəlɪŋ ɔːfɪs/,[카]운설링 오ː피스,13-1 School Places and Facilities 학교 공간과 시설,구,상담실,She made an appointment at the **counseling office**.,그녀는 상담실에 상담 예약을 했다.,,,,,,
guidance counselor,/ˈɡaɪdns kaʊnsələr/,[가]이던스 카운설러,13-1 School Places and Facilities 학교 공간과 시설,구,학생 지도 상담사,The **guidance counselor** helped me choose my courses.,학생 지도 상담사는 내가 수업을 선택하도록 도와주었다.,,,,,,
reading room,/ˈriːdɪŋ ruːm/,[리]ː딩 룸ː,13-1 School Places and Facilities 학교 공간과 시설,구,열람실; 독서실,The **reading room** stays quiet during exam week.,시험 기간에는 열람실이 조용하게 유지된다.,,,,,,
library,/ˈlaɪbreri/,[라]이브레리,13-1 School Places and Facilities 학교 공간과 시설,명,도서관,I borrowed two books from the **library**.,나는 도서관에서 책 두 권을 빌렸다.,,,,,,
computer lab,/kəmˈpjuːtər læb/,컴[퓨]ː터 랩,13-1 School Places and Facilities 학교 공간과 시설,구,컴퓨터실,Our class created a presentation in the **computer lab**.,우리 반은 컴퓨터실에서 발표 자료를 만들었다.,,,,,,
"teachers' lounge, staff room","/ˈtiːtʃərz laʊndʒ/, /stæf ruːm/",[티]ː처즈 라운지 / 스[태]프 룸ː,13-1 School Places and Facilities 학교 공간과 시설,구,교무실; 교사 휴게실(미국/영국),The teachers are having a short meeting in the **staff room**.,선생님들은 교무실에서 짧은 회의를 하고 있다.,,,,,,
classroom,/ˈklæsruːm/,클[래]스룸ː,13-1 School Places and Facilities 학교 공간과 시설,명,교실,The students decorated their **classroom** for the festival.,학생들은 축제를 위해 교실을 꾸몄다.,,,,,,
"restroom, bathroom, toilet","/ˈrestruːm/, /ˈbæθruːm/, /ˈtɔɪlət/",[레]스트룸ː / [배]쓰룸ː / [토]일럿,13-1 School Places and Facilities 학교 공간과 시설,명,화장실(미국/영국),The nearest **restroom** is beside the cafeteria.,가장 가까운 화장실은 구내식당 옆에 있다.,,,,,,
"principal's office, headmaster's office","/ˈprɪnsəplz ɔːfɪs/, /hedˈmæstərz ɔːfɪs/",프[린]서플즈 오ː피스 / 헤드[매]스터즈 오ː피스,13-1 School Places and Facilities 학교 공간과 시설,구,교장실(미국/영국),The parents met the principal in the **principal’s office**.,학부모들은 교장실에서 교장을 만났다.,,,,,,
"principal, headmaster","/ˈprɪnsəpl/, /hedˈmæstər/",프[린]서플 / 헤드[매]스터,13-1 School Places and Facilities 학교 공간과 시설,명,교장(미국/영국),The **principal** welcomed the new students.,교장은 신입생들을 환영했다.,,,,,,
playground,/ˈpleɪɡraʊnd/,플[레]이그라운드,13-1 School Places and Facilities 학교 공간과 시설,명,운동장; 놀이터,Children played soccer on the **playground**.,아이들은 운동장에서 축구를 했다.,,,,,,
schoolyard,/ˈskuːljɑːrd/,스[쿨]ː야ː드,13-1 School Places and Facilities 학교 공간과 시설,명,교정,Students gathered in the **schoolyard** for the morning ceremony.,학생들은 아침 행사에 참석하려고 교정에 모였다.,,,,,,
entrance,/ˈentrəns/,[엔]트런스,13-1 School Places and Facilities 학교 공간과 시설,명,교문; 입구,A security guard stands at the main **entrance**.,경비원이 정문에 서 있다.,,,,,,
dormitory,/ˈdɔːrmətɔːri/,[도]ː머토ː리,13-1 School Places and Facilities 학교 공간과 시설,명,기숙사,First-year students can apply for a room in the **dormitory**.,1학년 학생들은 기숙사 방을 신청할 수 있다.,,,,,,
"infirmary, nurse's office","/ɪnˈfɜːrməri/, /nɜːrsɪz ɔːfɪs/",인[퍼]ː머리 / [너]ː시즈 오ː피스,13-1 School Places and Facilities 학교 공간과 시설,구,보건실,I went to the **nurse’s office** because I felt dizzy.,나는 어지러워서 보건실에 갔다.,,,,,,
science lab,/ˈsaɪəns læb/,[사]이언스 랩,13-1 School Places and Facilities 학교 공간과 시설,구,과학실,Everyone must wear goggles in the **science lab**.,모두 과학실에서 보안경을 써야 한다.,,,,,,
music room,/ˈmjuːzɪk ruːm/,[뮤]ː직 룸ː,13-1 School Places and Facilities 학교 공간과 시설,구,음악실,The school band practices in the **music room**.,학교 밴드는 음악실에서 연습한다.,,,,,,
art room,/ɑːrt ruːm/,[아]ː트 룸ː,13-1 School Places and Facilities 학교 공간과 시설,구,미술실,Wet paintings are drying in the **art room**.,젖은 그림들이 미술실에서 마르고 있다.,,,,,,
lecture hall,/ˈlektʃər hɔːl/,[렉]처 홀ː,13-1 School Places and Facilities 학교 공간과 시설,구,대형 강의실,The guest speaker will meet students in the **lecture hall**.,초청 연사는 대형 강의실에서 학생들을 만날 것이다.,,,,,,
stairs,/sterz/,스[테]어즈,13-1 School Places and Facilities 학교 공간과 시설,명,계단,Use the **stairs** during a fire drill.,화재 대피 훈련 중에는 계단을 이용하세요.,,,,,,
bulletin board,/ˈbʊlətɪn bɔːrd/,[불]러틴 보ː드,13-1 School Places and Facilities 학교 공간과 시설,구,게시판,The exam schedule is posted on the **bulletin board**.,시험 일정이 게시판에 붙어 있다.,,,,,,
water fountain,/ˈwɔːtər faʊntn/,[워]ː터 파운튼,13-1 School Places and Facilities 학교 공간과 시설,구,식수대,The **water fountain** near the gym is out of order.,체육관 근처의 식수대가 고장 났다.,,,,,,
classroom,/ˈklæsruːm/,클[래]스룸ː,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,교실,Our **classroom** is on the second floor.,우리 교실은 2층에 있다.,,,,,,
alphabet,/ˈælfəbet/,[앨]퍼벳,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,알파벳,The children sang a song to learn the **alphabet**.,아이들은 알파벳을 배우려고 노래를 불렀다.,,,,,,
whiteboard,/ˈwaɪtbɔːrd/,[와]이트보ː드,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,화이트보드,The teacher wrote today’s topic on the **whiteboard**.,선생님은 오늘의 주제를 화이트보드에 썼다.,,,,,,
marker,/ˈmɑːrkər/,[마]ː커,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,보드마커; 마커펜,This **marker** has run out of ink.,이 마커는 잉크가 다 떨어졌다.,,,,,,
screen,/skriːn/,스크[린]ː,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,스크린; 화면,The presentation appeared clearly on the **screen**.,발표 자료가 화면에 선명하게 나타났다.,,,,,,
teacher,/ˈtiːtʃər/,[티]ː처,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,선생님,The **teacher** answered my question after class.,선생님은 수업 후 내 질문에 답해 주셨다.,,,,,,
clock,/klɑːk/,클[락]ː,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,시계,The classroom **clock** is five minutes slow.,교실 시계는 5분 느리다.,,,,,,
chalk,/tʃɔːk/,[초]ː크,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,분필,A piece of **chalk** broke while she was writing.,그녀가 쓰는 동안 분필 한 조각이 부러졌다.,,,,,,
blackboard,/ˈblækbɔːrd/,블[랙]보ː드,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,칠판,Please copy the sentence from the **blackboard**.,칠판에 있는 문장을 베껴 쓰세요.,,,,,,
world map,/wɜːrld mæp/,[월]ː드 맵,13-2 Classroom and Teaching Tools 교실과 수업 도구,구,세계 지도,We found Brazil on the **world map**.,우리는 세계 지도에서 브라질을 찾았다.,,,,,,
bulletin board,/ˈbʊlətɪn bɔːrd/,[불]러틴 보ː드,13-2 Classroom and Teaching Tools 교실과 수업 도구,구,게시판,The club posted its notice on the **bulletin board**.,동아리는 게시판에 공지문을 붙였다.,,,,,,
poster,/ˈpoʊstər/,[포]우스터,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,포스터,A colorful **poster** explains the recycling rules.,알록달록한 포스터가 재활용 규칙을 설명한다.,,,,,,
bookshelf,/ˈbʊkʃelf/,[북]셸프,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,책꽂이,Please return the dictionary to the **bookshelf**.,사전을 책꽂이에 돌려놓으세요.,,,,,,
"backpack, rucksack","/ˈbækpæk/, /ˈrʌksæk/",[백]팩 / [럭]색,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,책가방; 배낭(미국/영국),My notebook is in the front pocket of my **backpack**.,내 공책은 책가방 앞주머니에 있다.,,,,,,
"eraser, rubber","/ɪˈreɪsər/, /ˈrʌbər/",이[레]이서 / [러]버,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,지우개(미국/영국),Use an **eraser** to correct the mistake.,실수를 고치려면 지우개를 사용하세요.,,,,,,
textbook,/ˈtekstbʊk/,[텍]스트북,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,교과서,Open your **textbook** to page forty.,교과서 40쪽을 펴세요.,,,,,,
computer,/kəmˈpjuːtər/,컴[퓨]ː터,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,컴퓨터,Each group used a **computer** to research the topic.,각 조는 주제를 조사하기 위해 컴퓨터를 사용했다.,,,,,,
chair,/tʃer/,[체]어,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,의자,There is an empty **chair** beside me.,내 옆에 빈 의자가 하나 있다.,,,,,,
dictionary,/ˈdɪkʃəneri/,[딕]셔네리,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,사전,I checked the spelling in a **dictionary**.,나는 사전에서 철자를 확인했다.,,,,,,
"desk, table","/desk/, /ˈteɪbl/",[데]스크 / [테]이블,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,책상(미국/영국),Please leave your worksheet on my **desk**.,학습지를 내 책상 위에 놓으세요.,,,,,,
globe,/ɡloʊb/,글[로]웁,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,지구본,The teacher turned the **globe** to show us Africa.,선생님은 아프리카를 보여 주려고 지구본을 돌렸다.,,,,,,
overhead projector,/ˌoʊvərˈhed prədʒektər/,오우버[헤]드 프러젝터,13-2 Classroom and Teaching Tools 교실과 수업 도구,구,프로젝터,The old **overhead projector** is kept in the storage room.,오래된 오버헤드 프로젝터는 창고에 보관되어 있다.,,,,,,
ballpoint pen,/ˈbɔːlpɔɪnt pen/,[볼]ː포인트 펜,13-2 Classroom and Teaching Tools 교실과 수업 도구,구,볼펜,I signed the form with a blue **ballpoint pen**.,나는 파란 볼펜으로 양식에 서명했다.,,,,,,
pencil,/ˈpensl/,[펜]슬,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,연필,Write your answer in **pencil** so you can change it.,답을 고칠 수 있도록 연필로 쓰세요.,,,,,,
pencil sharpener,/ˈpensl ʃɑːrpənər/,[펜]슬 샤ː퍼너,13-2 Classroom and Teaching Tools 교실과 수업 도구,구,연필깎기,The electric **pencil sharpener** is beside the window.,전동 연필깎이는 창문 옆에 있다.,,,,,,
workbook,/ˈwɜːrkbʊk/,[워]ː크북,13-2 Classroom and Teaching Tools 교실과 수업 도구,명,문제집,Complete exercises one through five in your **workbook**.,문제집에서 1번부터 5번까지 풀어 보세요.,,,,,,
